妈, mā, mother
麻, má, hemp
马, mǎ, horse
骂, mà, to scold
妈骑马, mā qí mǎ, mother rides a horse
马慢, mǎ màn, the horse is slow
妈骂马, mā mà mǎ, mother scolds the horse
妈骑马马慢妈骂马, mā qí mǎ mǎ màn mā mà mǎ, mother rides a horse the horse is slow mother scolds the horse
爸爸,bà ba,(informal) father
北京,Běi jīng,Beijing
茶,chá,tea
大熊猫, dà xióngmāo, panda 
走吧, zǒu ba, let's go
大, dà, big
小, xiǎo, small
中, zhōng, middle
差不多, chà bù duō, almost
啤酒肚, píjiǔ dù, beer belly
小心, xiǎo xīn, careful
饺子, jiǎo zi, dumpling
牛肉,niú ròu,beef
羊肉,yáng ròu,mutton
猪肉,zhū ròu,pork
包子, bāozi, steamed bun (baozi) 
小笼包, xiǎolóngbāo, soup dumpling
biángbiáng面,biángbiáng miàn,biángbiáng noodles
兰州拉面,lán zhōu lā miàn,Lanzhou hand-pulled noodles
中国人, Zhōngguó rén, Chinese person  
德国人, Déguó rén, German person  
瑞士人, Ruìshì rén, Swiss person    








