Grit,ɡrɪt,Courage and determination
Awkward,ˈɔːkwəd,Clumsy or uncomfortable
Array,əˈreɪ,An ordered collection
Variable,ˈveəriəbl,Something that can change
Effigy,ˈɛfɪdʒi,A statue or model of a person
Rhetoric,ˈrɛtərɪk,Rhetorik
Thorough,ˈθʌrə,Complete and careful
Schedule,ˈskɛdʒuːl / ˈʃɛdjuːl,Timetable (different UK/US pronunciations)
Worcester,ˈwʊstər,A city in England (tricky spelling vs. sound)
Colonel,ˈkɜːrnəl,Military rank
Choir,ˈkwaɪər,A group of singers
Subtle,ˈsʌtl,Delicate or not obvious
Though,ðoʊ,Despite that
Through,θruː,Moving in one side and out the other
Tough,tʌf,Strong or difficult
Thoroughfare,ˈθʌrəˌfɛr,Main road or street
Entrepreneur,ˌɒntrəprəˈnɜːr,Business founder
Genre,ˈʒɒnrə,Type or category
Queue,kjuː,Line of people waiting
Leisure,ˈlɛʒər / ˈliːʒər,Free time (UK/US differ)
Iron,ˈaɪən,Metal or ironing tool
Vehicle,ˈviːɪkl,Car or transport means
Wednesday,ˈwɛnzdeɪ,Day of the week
Sword,sɔːrd,Weapon with a blade
Debt,dɛt,Money owed (silent 'b')


